product_title,price,category,rating_count,stock_sold_value,rating_rate_level
"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",109.95,men's clothing,120.0,13194.0,bueno
Mens Casual Premium Slim Fit T-Shirts ,22.3,men's clothing,259.0,5775.7,excelente
Mens Cotton Jacket,55.99,men's clothing,500.0,27995.0,excelente
Mens Casual Slim Fit,15.99,men's clothing,430.0,6875.7,regular
John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,695.0,jewelery,400.0,278000.0,excelente
Solid Gold Petite Micropave ,168.0,jewelery,70.0,11760.0,bueno
White Gold Plated Princess,9.99,jewelery,400.0,3996.0,bueno
Pierced Owl Rose Gold Plated Stainless Steel Double,10.99,jewelery,100.0,1099.0,malo
WD 2TB Elements Portable External Hard Drive - USB 3.0 ,64.0,electronics,203.0,12992.0,bueno
SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,109.0,electronics,470.0,51230.0,regular
Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5,109.0,electronics,319.0,34771.0,excelente
WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,114.0,electronics,400.0,45600.0,excelente
Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,599.0,electronics,250.0,149750.0,regular
Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,999.99,electronics,140.0,139998.6,regular
BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats,56.99,women's clothing,235.0,13392.65,regular
Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,29.95,women's clothing,340.0,10183.0,regular
Rain Jacket Women Windbreaker Striped Climbing Raincoats,39.99,women's clothing,679.0,27153.210000000003,bueno
MBJ Women's Solid Short Sleeve Boat Neck V ,9.85,women's clothing,130.0,1280.5,excelente
Opna Women's Short Sleeve Moisture,7.95,women's clothing,146.0,1160.7,excelente
DANVOUY Womens T Shirt Casual Cotton Short,12.99,women's clothing,145.0,1883.55,bueno
